,customer_id,1,2,3,4,5,6,7,8,9,10,11,12,output
1944,9793939,0,53,55,17,38,37,112,67,94,9,0,21,68
1149,6089762,0,0,0,0,0,0,0,0,0,0,0,0,0
541,3355958,1,0,1,1,1,0,0,0,0,2,0,0,0
850,4718310,0,0,1,3,2,3,0,1,0,0,0,1,0
841,4682163,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,7757742,0,0,0,0,0,0,0,2,0,0,0,0,0
43,1160271,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,5474255,0,4,2,0,1,8,1,2,0,3,0,65,24
950,5169428,0,0,54,13,20,71,39,6,0,0,86,62,0
1792,9076688,3,0,0,1,10,223,8,4,25,39,39,20,0
706,4121261,0,1,0,0,0,1,0,0,0,0,0,1,7
1872,9489105,0,1,0,0,1,0,12,0,2,0,1,0,0
0,1001614,0,0,0,0,0,28,0,0,3,19,0,0,20
289,2269586,24,16,33,0,8,48,0,2,0,14,1,10,2
1568,8010030,0,0,0,0,0,0,0,0,0,0,0,0,0
699,4083230,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1181986,16,10,0,1,0,0,0,3,17,1,0,2,10
966,5228277,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,6186615,0,6,6,4,1,0,0,0,0,0,0,1,0
1715,8753356,73,31,0,0,0,0,0,0,0,0,0,0,0
1147,6080391,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,7046846,8,20,34,10,2,12,6,5,21,14,21,8,28
1401,7296011,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1778682,31,94,34,94,3,2,2,1,3,2,8,5,49
1556,7947635,106,118,190,76,31,99,135,447,127,173,107,55,200
1623,8320026,19,5,15,9,14,8,2,7,39,8,8,14,20
758,4331018,7,0,1,2,16,18,0,0,0,0,2,7,4
1028,5493158,0,60,0,0,0,0,0,0,0,0,0,0,1
1782,9049512,227,110,250,96,139,211,86,214,127,93,208,79,272
1615,8255953,15,93,29,17,85,4,35,45,9,2,29,27,16
1093,5797570,1,2,23,40,44,1,71,49,20,63,18,26,46
1017,5454813,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,6413567,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,6780796,5,14,13,8,43,18,60,1,19,65,109,3,71
139,1622087,0,0,0,0,0,0,0,0,0,0,0,0,0
828,4627131,0,0,0,0,0,0,0,0,0,0,0,0,0
698,4082611,1,10,0,6,2,0,1,0,0,13,1,0,21
1046,5550365,0,0,0,0,0,0,0,0,0,0,0,0,0
973,5244807,5,16,5,0,1,4,0,2,2,10,10,20,5
1076,5695488,0,0,0,0,54,11,66,1,35,6,1,6,4
689,4050612,30,51,1,13,43,116,157,36,68,105,142,11,133
1259,6579199,0,1,1,1,0,0,0,0,0,0,0,0,0
1017,5454813,0,0,0,0,0,0,0,0,0,0,0,0,0
933,5117765,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,6899819,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,6937682,0,47,0,0,54,0,0,0,0,0,31,49,0
1245,6509907,22,57,15,48,61,9,33,40,80,70,26,227,54
234,2022495,0,0,0,12,0,9,11,2,0,9,0,0,0
1612,8249086,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,8182341,0,0,0,0,0,0,0,0,0,0,0,0,0
1793,9081525,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,7999775,0,7,0,0,0,0,0,0,0,0,0,0,0
945,5157354,8,3,5,10,0,0,5,0,3,0,1,0,20
808,4516821,0,0,0,17,9,14,0,0,0,0,0,0,0
1497,7731960,0,0,0,0,0,0,0,0,0,0,0,0,0
815,4563769,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,5684224,7,9,66,12,6,8,0,1,2,3,0,0,2
1884,9538944,21,54,45,22,2,8,4,3,4,0,3,3,11
198,1851014,0,0,0,0,0,0,0,0,0,9,43,20,23
923,5051287,10,0,0,0,0,0,7,150,0,1,9,14,5
342,2468543,4,16,0,0,12,8,8,2,4,2,0,6,0
1813,9163813,26,65,44,33,54,20,18,49,33,7,33,52,129
954,5180118,0,0,0,0,3,0,0,0,0,0,0,0,0
